회사명,종목코드,업종,주요제품,상장일,시장구분,ticker
SM C&C,048550,광고업,"영상콘텐츠 제작 및 매니지먼트, 광고, 여행",2001-01-18,KOSDAQ,048550.KQ
승일,049830,기타 금속 가공제품 제조업,"에어졸캔,에어졸발브,일반관",2001-01-18,KOSDAQ,049830.KQ
조광ILI,044060,일반 목적용 기계 제조업,"안전밸브,스팀트랩",2001-01-18,KOSDAQ,044060.KQ
TPC,048770,일반 목적용 기계 제조업,"구동기기(실린더), 방향제어기(밸브)",2001-01-16,KOSDAQ,048770.KQ
코메론,049430,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","줄자, 냉간압연",2001-01-16,KOSDAQ,049430.KQ
빌리언스,044480,고무제품 제조업,"콘돔,고무골무,의료용 장갑",2001-01-11,KOSDAQ,044480.KQ
삼화네트웍스,046390,"영화, 비디오물, 방송프로그램 제작 및 배급업",영상 콘텐츠,2001-01-11,KOSDAQ,046390.KQ
성광벤드,014620,1차 철강 제조업,관이음쇠,2001-01-11,KOSDAQ,014620.KQ
유라테크,048430,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","점화코일, 스파크플러그",2001-01-11,KOSDAQ,048430.KQ
삼현철강,017480,1차 철강 제조업,"후판,열연후판,산세판박,무늬강판,용단철강,형강외",2001-01-09,KOSDAQ,017480.KQ
오픈베이스,049480,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","트래픽솔루션(웹스위치,트래픽서버)",2001-01-09,KOSDAQ,049480.KQ
라온시큐어,042510,소프트웨어 개발 및 공급업,소프트웨어 개발 및 공급,2001-01-03,KOSDAQ,042510.KQ
삼양케이씨아이,036670,기타 화학제품 제조업,"폴리머,레진,계면활성제",2001-01-03,KOSDAQ,036670.KQ
오로라,039830,전문디자인업,"캐릭터디자인,캐릭터완구 등",2001-01-03,KOSDAQ,039830.KQ
금화피에스시,036190,전기 및 통신 공사업,"설비,철물,전기,강구조물",2000-12-26,KOSDAQ,036190.KQ
코다코,046070,자동차 신품 부품 제조업,"Oil Pump, Throttle Body",2000-12-26,KOSDAQ,046070.KQ
인바디,041830,의료용 기기 제조업,정밀 체성분 분석기,2000-12-14,KOSDAQ,041830.KQ
고려제약,014570,의약품 제조업,"하벤(종합감기약),뉴로메드(치매치료제)등",2000-12-07,KOSDAQ,014570.KQ
크린앤사이언스,045520,일반 목적용 기계 제조업,자동차용 여과지,2000-12-05,KOSDAQ,045520.KQ
KD,044180,건물 건설업,건설사업(완성건물),2000-11-16,KOSDAQ,044180.KQ
이글벳,044960,기타 전문 도매업,"아바텍,아목사실린사 등",2000-11-16,KOSDAQ,044960.KQ
아즈텍WB,032080,"섬유제품 염색, 정리 및 마무리 가공업",직물,2000-10-26,KOSDAQ,032080.KQ
오리콤,010470,광고업,광고대행,2000-10-24,KOSDAQ,010470.KQ
위닉스,044340,가정용 기기 제조업,일반목적용 기계제조업,2000-10-24,KOSDAQ,044340.KQ
상지건설,042940,건물 건설업,"건설업, 고급빌라 건축 및 일반 건축, 주택공급 등",2000-10-19,KOSDAQ,042940.KQ
엔피케이,048830,합성고무 및 플라스틱 물질 제조업,합성고무 및 플라스틱물질 제조업,2000-10-12,KOSDAQ,048830.KQ
삼천당제약,000250,의약품 제조업,"하메론, 아토로우",2000-10-04,KOSDAQ,000250.KQ
에이치케이,044780,특수 목적용 기계 제조업,레이저가공 절단기,2000-09-07,KOSDAQ,044780.KQ
정원엔시스,045510,기계장비 및 관련 물품 도매업,"SI(시스템통합) 관련 소프트웨어, 중.대형 고속 레이져 프린터",2000-09-07,KOSDAQ,045510.KQ
한양이엔지,045100,"건축기술, 엔지니어링 및 관련 기술 서비스업",반도체배관설비,2000-08-31,KOSDAQ,045100.KQ
누리플렉스,040160,소프트웨어 개발 및 공급업,"지능형검침인프라(AMI),에너지관리시스템, 플랫폼 SW",2000-08-29,KOSDAQ,040160.KQ
에쎈테크,043340,일반 목적용 기계 제조업,LPG밸브,2000-08-29,KOSDAQ,043340.KQ
국순당,043650,알코올음료 제조업,탁주 및 약주,2000-08-24,KOSDAQ,043650.KQ
엘컴텍,037950,전자부품 제조업,"BLU(Back Light Unit), CCM(Compact Camera Module), Display용 EL",2000-08-24,KOSDAQ,037950.KQ
이오테크닉스,039030,특수 목적용 기계 제조업,레이저 마커 및 레이저 응용기기,2000-08-24,KOSDAQ,039030.KQ
상상인,038540,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",IT 통합 솔루션,2000-08-18,KOSDAQ,038540.KQ
서울제약,018680,의약품 제조업,"정제,연질캅셀제,경질캅셀제,연고 및 크림제 등",2000-08-18,KOSDAQ,018680.KQ
HLB파나진,046210,의료용품 및 기타 의약 관련제품 제조업,의료용품및 기타 의약관련 제품 제조업,2000-08-16,KOSDAQ,046210.KQ
나노엔텍,039860,의료용 기기 제조업,의료기기 및 실험기기,2000-08-16,KOSDAQ,039860.KQ
오공,045060,기타 화학제품 제조업,"접착제,씰란트,광택제,연마제",2000-08-10,KOSDAQ,045060.KQ
알파녹스,043100,의료용 기기 제조업,"가정용 온열치료기, 의료기구",2000-08-08,KOSDAQ,043100.KQ
비츠로테크,042370,기타 금융업,"차단기, 개폐기",2000-08-03,KOSDAQ,042370.KQ
코아시아,045970,반도체 제조업,LED패키지,2000-08-03,KOSDAQ,045970.KQ
정상제이엘에스,040420,일반 교습 학원,어학교육업,2000-08-01,KOSDAQ,040420.KQ
진양제약,007370,의약품 제조업,"소부날, 옥티란",2000-07-27,KOSDAQ,007370.KQ
KT지니뮤직,043610,영상·오디오물 제공 서비스업,디지털 음악 서비스 및 음원유통,2000-07-20,KOSDAQ,043610.KQ
진성티이씨,036890,특수 목적용 기계 제조업,트랙롤라. 플로팅 씰,2000-07-20,KOSDAQ,036890.KQ
현대에이치티,039010,통신 및 방송 장비 제조업,스마트홈 제조,2000-07-20,KOSDAQ,039010.KQ
삼아제약,009300,의약품 제조업,"노마에프, 아토크건조시럽, 코데날정, 코코시럽, 스마엘",2000-07-19,KOSDAQ,009300.KQ
파루,043200,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","온습도 조절기(에어쿨), 무인방제기(야호)",2000-07-19,KOSDAQ,043200.KQ
